id,region,country,subnat_region
0,Lahore,Pakistan,Punjab
2,Maynaguri,India,West Bengal
4,Abdul Hakeem,Pakistan,Punjab
5,,Kenya,
7,Ellahabad,Pakistan,Punjab
11,Faisalabad,Pakistan,Punjab
14,Dhupguri,India,West Bengal
31,Jaranwala,Pakistan,Punjab
34,Sialkot,Pakistan,Punjab
41,Jhang,Pakistan,Punjab
46,Voi,Kenya,Voi
48,Leon,Nicaragua,Leon
49,,El Salvador,
50,Dar es Salaam,Tanzania,Dar es Salaam
51,Liloy-Dela Paz,Philippines,Zamboanga del Norte
52,"Tanjay, Negros Oriental",Philippines,Negros Oriental
53,Ica,Peru,Ica
54,,Senegal,
55,"Brookes Point, Palawan",Philippines,Palawan
57,Likoni,Kenya,Mombasa
60,Takeo province,Cambodia,Takeo province
61,New Kru,Liberia,New Kru
62,Hai Duong,Vietnam,Hai Duong
64,Kampong Chhnang Province,Cambodia,Kampong Chhnang Province
65,"Sinippil, Cauayan City, Isabela",Philippines,Isabela
66,Logan Town,Liberia,Logan Town
70,,Iraq,
71,Pagadian - Lower Bagong Silang Pagadian City,Philippines,
75,"Liloy-Timan, Liloy, Zamboanga del norte",Philippines,Zamboanga del Norte
77,"Tudela-Pan-ay ,Clarin,Misamis Occidental",Philippines,Misamis Occidental
79,Caldwell,Liberia,Caldwell
80,"Nueva Frontera, Santa Barbara.",Honduras,TRASCERROS
81,Tulkrem,Palestine,Tulkrem
82,Nablus,Palestine,Nablus
83,"Liloy-San Miguel, Liloy, Zamboanga del Norte",Philippines,Zamboanga del Norte
85,"Balipatna, Odisha",India,Odisha
86,"Ih toiruu, Ulaanbaatar",Mongolia,Ulaanbaatar
87,jenin,Palestine,jenin
90,"San Pedro Sula, Cortés",Honduras,"San Pedro Sula, Cortés"
92,Khsach Kandal district,Cambodia,Khsach Kandal district
96,Plaridel-Cebulin,Philippines,Misamis Occidental
99,,United States,
102,,Peru,
104,"Jimenez-Corrales, Jimenez, Misamis Occidental",Philippines,Misamis Occidental
105,"Tudela - Clarin, Misamis Occidental",Philippines,Misamis Occidental
106,"Jimenez-Butuay, Misamis Occidental",Philippines,Misamis Occidental
107,"Tudela-Locsoon,Tudela,Misamis Occidental",Philippines,Misamis Occidental
109,Phnom Penh,Cambodia,Phnom Penh
115,Nanyuki,Kenya,Nanyuki
116,San Diego,United States,California
117,"Larena - Cantaroc, Maria, Siquijor",Philippines,"Larena - Cantaroc, Maria, Siquijor"
118,"Santander, Cebu",Philippines,Cebu
